,Classes,mitm,normal,xss,injection,password,ddos,ransomware,backdoor,dos,scanning
0,mitm,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
1,normal,0.5,8119.514403719333,188.62295941028788,10.330126997238523,0.997963340122183,136.72367461707938,0.0,0.0,0.0,74.86142419533411
2,xss,0.0,8.324358974358972,10245.278294534019,1022.4397826330356,72.62915499533199,118.12326609149456,0.0,0.0,0.0,0.0
3,injection,0.0,7.245324283559571,937.3493011494855,6746.055635516675,1029.9098764239711,198.14187481539014,0.0,0.0,0.0,23.15840246355029
4,password,0.0,0.2,192.67970411511484,105.69509052179447,2292.9900826341045,5.293635531135593,0.0,0.0,0.0,0.0
5,ddos,0.9890909090909137,488.16629331290693,229.62531655020243,825.9615682323505,209.22348952646846,8967.66633323066,0.0,0.0,0.0,1159.1693774419618
6,ransomware,0.0,0.0870898170709662,122.00626122331947,0.0,0.0,0.0,148.59187237235963,0.0,0.0,374.9063440648995
7,backdoor,0.0,2.0332004895269087,0.75,1.636363636363636,0.0,0.0,3.745962314939369,5.991650807290465,0.0,10.999999999999996
8,dos,0.0,0.0,0.0,2.575534759358289,0.0,0.0,0.0,0.0,0.9999999999999996,0.0
9,scanning,3.294117647058819,15.333333333333341,172.61428571428507,50.82573863248213,37.25810811135881,3.690399330463887,0.0,0.0,0.0,1174.4166666665851
