,Classes,dos,backdoor,xss,ddos,scanning,injection,password,mitm,ransomware,normal
0,dos,0.9999999999999996,0.0,0.0,0.0,0.0,2.575534759358289,0.0,0.0,0.0,0.0
1,backdoor,0.0,6.999999999999994,0.0,0.0,5.916666666666669,1.636363636363636,0.0,0.0,4.665320771646413,9.999999999999892
2,xss,0.0,0.0,10265.860201090802,231.28616848408112,31.631581795397597,435.164518191635,16.75833333333332,0.8,0.0,23.666666666666668
3,ddos,0.0,0.0,738.8224886016833,9998.262738711279,1187.3256353533782,911.3634355068743,121.30216026233893,0.0,1.0,63.34285714285695
4,scanning,0.0,0.0,172.8095238095231,14.575396825396822,1171.7967032966214,38.01734708422964,30.511761097519592,0.0,3.0000000000000018,19.0
5,injection,0.0,0.0,949.2177648245965,278.97255548888904,23.747239280328284,6579.630426302964,441.6880056862504,0.09090909090909091,0.0,7.572222222222216
6,password,0.0,0.0,192.41450987952473,1.6666666666666665,1.9999999999999998,358.31481723899424,1983.1198768466659,0.0,0.0,0.2
7,mitm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.849999999999998,0.0,0.0
8,ransomware,0.0,0.0,0.0,0.0,116.12457819957923,0.0,0.0,0.0,233.43768612267948,14.000000000000838
9,normal,0.0,0.0,154.5298986685519,24.65641298294647,61.78585832626345,8.831145327177431,4.171945010183266,0.0,1.6666666666666667,8305.116474072232
